c3,year,id,country,c2,gini,ge0,ge1,ge2,a025,a050,a075,a1,a2,palma,ratio_top20bottom20,bottom40,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,link,pop_share,inc_share,w_ge0,w_ge1,w_ge2,w_a050,w_a1,b_ge0,b_ge1,b_ge2,b_a050,b_a1,wiidcompanion,resource_pref,scale_pref,quality_pref,shares_nonnull,rank_key
AFG,2017,3,Afghanistan,AF,31.0,,,,,,,,,,4.44,22.0,9.0,13.0,16.0,22.0,40.0,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,26792.0,,Afghan afghani 2016,Year,,,,2953.0,35688932.0,New 2019,High,12,National statistical authority,European Union and the Central Statistics Organization of Afghanistan,,Living Conditions Survey (LCS),https://eeas.europa.eu/regions/asia/44072/results-afghanistan-living-conditions-survey-alcs-2016-17-released_en,,,,,,,,,,,,,Yes,1.0,2.0,3.0,5,"(3.0, 1.0, 2.0, 5)"
AGO,2019,39,Angola,AO,51.26,,,,,,,,,3.46,14.780000000000001,11.44,3.7600000000000002,7.68,12.56,20.44,55.56,1.33,2.43,3.33,4.34,5.58,6.98,8.870000000000001,11.57,15.94,39.62,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,2001.0,1248.0,US$2021PPP,Year,0.01260586298687519,,,8275.0,32375632.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,IDREA,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
ALB,2020,21,Albania,AL,33.2,,,,,,,,,1.26,5.84,19.3,6.9,12.4,17.0,23.400000000000002,40.300000000000004,2.5,4.3,5.6000000000000005,6.8,7.9,9.1,10.700000000000001,12.700000000000001,15.9,24.400000000000002,1.0,14.3,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2943.0,2523.0,Euro,Year,,,,14869.0,2871954.0,New 2025,High,13,Eurostat,Eurostat Data browser,Series 2018-2020,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,1.0,3.0,15,"(3.0, 4.0, 1.0, 15)"
AND,2016,29,Andorra,AD,27.96,,,,,,,,,1.0,3.91,23.1,9.700000000000001,13.4,16.8,22.3,37.9,4.3,5.4,6.3,7.1000000000000005,7.9,8.9,10.200000000000001,12.1,14.9,23.0,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,17266.0,14668.0,Euro,Year,,,,64403.0,72181.0,New 2019,High,13,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF),https://www.estadistica.ad/serveiestudis/publicacions/Publicacions/Prestacions%20socials.pdf,,,,,,,,,,,,,Yes,1.0,1.0,3.0,15,"(3.0, 1.0, 1.0, 15)"
ARE,2019,23842,United Arab Emirates,AE,26.400000000000002,,,,,,,,,0.89,4.25,23.0,8.2,14.8,18.86,23.29,34.85,2.83,5.36,6.84,7.96,8.950000000000001,9.92,10.98,12.31,14.370000000000001,20.48,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,High income,28753.0,27102.0,US$2021PPP,Year,,,,68888.0,9377847.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2015-2019,HIES,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,2.0,2.0,2.0,15,"(2.0, 2.0, 2.0, 15)"
ARG,2023,249,Argentina,AR,40.2,32.14,29.6,70.69,,13.1,,23.5,49.71,1.85,7.6000000000000005,16.8,6.19,10.61,14.68,21.46,47.04,2.32,3.87,4.8100000000000005,5.8,6.76,7.92,9.43,12.030000000000001,15.91,31.13,,21.400000000000002,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,8344.0,6311.0,US$2021PPP,Year,0.26953401766572804,,,27105.0,45538404.0,New 2025,High,11,United Nations,ECLAC,New series,EPHC-S2,https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,,,,,,,,,,,,,Yes,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
ARM,2022,359,Armenia,AM,27.95,0.13,0.15,0.24,,0.07,,0.12,0.22,1.01,4.05,22.82,9.200000000000001,13.620000000000001,17.54,22.36,37.28,3.9,5.3,6.33,7.29,8.26,9.28,10.450000000000001,11.91,14.280000000000001,22.990000000000002,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2815.0,2451.0,US$2021PPP,Year,0.002684557398700091,,,17886.0,2880874.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2019-2022,ILCS,https://pip.worldbank.org/,1.0,1.0,0.126,0.146,0.23,0.065,0.12,0.007,0.006,0.006,0.003,0.005,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
AUS,2020,661,Australia,AU,31.8,22.14,22.84,42.17,5.38,10.290000000000001,15.02,19.86,51.65,1.26,5.6000000000000005,19.37,7.21,12.17,16.37,22.44,41.82,2.63,4.58,5.63,6.53,7.55,8.82,10.27,12.17,15.14,26.68,0.91,17.0,Income (net),"Income, net",Equivalized,Square root,Household,Person,All,All,All,All,Oceania,Australia and New Zealand,East Asia and the Pacific,Non-EU,OECD,High income,64923.0,55919.0,Australian dollar,Year,0.9014179633263129,,,56216.0,25743792.0,New 2023,High,11,OECD,OECD.Stat,New series,Survey of Income and Housing (SIH),http://www.oecd.org/social/income-distribution-database.htm,,,,,,,,,,,,,No,4.0,1.0,3.0,0,"(3.0, 4.0, 1.0, 0)"
AUT,2023,1149,Austria,AT,30.89,1867.89,2056.13,8020.02,467.59000000000003,882.88,1285.16,1703.81,4408.43,1.16,5.0200000000000005,21.14,7.74,13.4,17.64,22.330000000000002,38.89,2.7800000000000002,4.96,6.18,7.22,8.28,9.36,10.38,11.96,14.32,24.57,0.9400000000000001,15.68,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,24618.0,21706.0,Euro,Year,0.08564638036984938,,,65015.0,9130429.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,No,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
AZE,2005,1182,Azerbaijan,AZ,26.55,,,,,,,,,0.98,3.5100000000000002,24.68,10.77,13.91,16.66,20.85,37.800000000000004,4.8500000000000005,5.93,6.62,7.29,7.94,8.72,9.73,11.120000000000001,13.620000000000001,24.18,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3547.0,2942.0,US$2021PPP,Year,0.972164166666667,,,9902.0,8597248.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2001-2005,HBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
